Client Name,Lobbyist Trading Name
Bayer Schering Pharma,CPR Communications & Public Relations Pty Ltd
Beach Petroleum Ltd,GR Solutions
Bell Shakespeare,Parker & Partners Public Affairs
Bellevue Hill Public Scholl P&C,Hawker Britton Group
Belongil Preservation Society,Kreab Gavin Anderson
Benchmark Australia,Enhance Corporate
Berowra Waters Marina P/L,Graham Richardson
Betfair Australia,Government Relations Australia Advisory Pty Ltd
Better Place Australia,Kreab Gavin Anderson
Bickham Coal,Repute Communications & Associates Pty Ltd
Bilfinger Berger Project Investments Pty Ltd,Government Relations Australia Advisory Pty Ltd
Bilfinger Berger Services,Profile Ray & Berndtson
Bilfinger Berger Services (Aust) Pty Ltd,Government Relations Australia Advisory Pty Ltd
Billnudgel Property Trust,Hawker Britton Group
Bio Power Systems,Ally Group
Biotronik Australia Pty Ltd,Bramex Pty Ltd
Biotronik GmbH (Germany),Bramex Pty Ltd
Blacktown Property Investments Pty Ltd,Enhance Corporate
Bloomfield Collieries,Richardson Coutts Pty Ltd
Blue Line Cruises,AegisConsultingAustralia Pty Ltd
BlueMaxx,AusAccess Pty Ltd
BlueScope Steel,Kreab Gavin Anderson
Bluegrass Consulting,Ally Group
Bombardier Transportation Australia,Hawker Britton Group
Boral Development,CPR Communications & Public Relations Pty Ltd
Boral Timber,The Fifth Estate
Boveri Defence Systems,Richardson Coutts Pty Ltd
Bowport Allroads Transport,John Durst Consulting
Bradcorp,Graham Richardson
Brain and Mind Research Institute,Hawker Britton Group
Breen Holdings Ltd.,Statecraft
Brian Russell Group of Companies (BRGOC),CPR Communications & Public Relations Pty Ltd
Bridge Business College,Salmon Communications
Bright Blue Solutions,Richardson Coutts Pty Ltd
Brisbane Airport Corporation,CPR Communications & Public Relations Pty Ltd
Bristol-Myers Squibb,Parker & Partners Public Affairs
Broadcast Australia,Government Relations Australia Advisory Pty Ltd
Broadlex Services Pty Ltd,Hawker Britton Group
Brookfield Multiplex,CPR Communications & Public Relations Pty Ltd
Brookfield Multiplex Ltd,TITFA Consultancy Pty Ltd
Buildev Group,Sciaccas Lawyers and Consultants
Buildev Group,David Simmons Corporate Communications
Bulklink,The Fifth Estate
Bunnings Group Limited,Hawker Britton Group
Burke Urban Developments Pty Ltd,GR Solutions
Business for Millenium Development,The Fifth Estate
C & G Burns,Scott Taylor Communication
C and G Burns,FT Communications
CSC Australia,The Agenda Group NSW
CSL Limited,Parker & Partners Public Affairs
CSR,Endeavour Consulting Group Pty Ltd
Cabcharge Australia,Australian Public Affairs Ltd Partnership
Cabcharge Australia Ltd,Brian Dale & Partners
Cambridge International College Pty Ltd,Government Relations Australia Advisory Pty Ltd
Campaign & Elections Politics Magazine,Springboard Australia Pty Ltd
Campbell Arnott's,Public Affairs Network
Canadian Pension Plan Investment Board,Hawker Britton Group
Canberra Estates Consortium No 4,Endeavour Consulting Group Pty Ltd
Canberra Estates Consortium No. 4 Pty Ltd,Hawker Britton Group
Cancer Council (NSW),Hill & Knowlton
Capital Airport Group,Government Relations Australia Advisory Pty Ltd
Capital C Consulting,Ally Group
Capital Investment Group,Keating Consulting
Captain Cook Cruises,AegisConsultingAustralia Pty Ltd
Captain Cook Cruises,Brian Dale & Partners
Carbon Road,Chikarovski & Associates Pty Ltd
Carbon Strategic Australia Pty Ltd,Hawker Britton Group
Carlingford Developments,CRAKYL Pty Ltd
Carnegie Corporation,David Utting Communications
Carnival,Kreab Gavin Anderson
Carriage Works Limited,Hawker Britton Group
Carrick Education,Kreab Gavin Anderson
Carrick Institute of Education Pty Ltd,Government Relations Australia Advisory Pty Ltd
Catholic Archdiocese of Sydney,Margaret Fisher & Associates
Catylis Properties,Edelman
Cemex Australia Pty Ltd,Peter Anderson & Co Pty Ltd
Centenary Capital Partners Pty Ltd,Chikarovski & Associates Pty Ltd
Centennial Park and Moore Park Trust,Brian Dale & Partners
Central Darling Shire,Sefiani Communications Group
Central Sydney GP Network,Public Affairs Network
Centrebet International,Peter Fletcher
Century Venues,Hawker Britton Group
Ceramic Fuel Cells Limited,Government Relations Australia Advisory Pty Ltd
Chandler McLeod Group,John Connolly & Partners
Charlemagne Capital,Ambassador Funds Management Services
Chartered Secretaries Australia Limited,Hawker Britton Group
Chi X,Wilkinson Media
Chi-X,Springboard Australia Pty Ltd
Chiropractors' Association of Australia (New South Wales),MacGregor Public Relations
Christmas Island Phosphatesq,Endeavour Consulting Group Pty Ltd
Cisco Systems Inc,Enhance Corporate
City West Property Holdings Pty Ltd,Endeavour Consulting Group Pty Ltd
Clean Energy Council,Wilkinson Media
Clean Up Australia,Essential Media Communications
Cleary Bros,Repute Communications & Associates Pty Ltd
Clemenger BBDO,Government Relations Australia Advisory Pty Ltd
Clive Goodwin,Illawarra Regional Development Group
Coalworks,Hawker Britton Group
Coca-Cola Amatil,Touchpoint Australia
Cocoon Dafa Pty Ltd,FT Communications
Codlea Pty Ltd,Hawker Britton Group
Cogent Energy,CPR Communications & Public Relations Pty Ltd
Cohen and Steers,Ambassador Funds Management Services
Colan Australia,Lighthouse Communications Group
Coles Supermarkets Australia Pty Ltd,Statecraft
ComfortDelGro Cabcharge,Australian Public Affairs Ltd Partnership
Commercial Hospital Operators Australia,Parker & Partners Public Affairs
Commonwealth Bank,CPR Communications & Public Relations Pty Ltd
Company B (Belvoir Street Theatre),Hawker Britton Group
Compass Group Australia,CPR Communications & Public Relations Pty Ltd
Compressed Air Association of Australasia,The Fifth Estate
Computershare,CPR Communications & Public Relations Pty Ltd
Coniston Investments,Hawker Britton Group
Connectland,Government Relations Australia Advisory Pty Ltd
Connectland Pty Ltd,Scott & Beaumont Pty Ltd
Connector Motorways Group,Parker & Partners Public Affairs
Cons Prop Pty Ltd (Consolidated Properties),TITFA Consultancy Pty Ltd
Consolidated Properties,Keating Consulting
"Construction, Forestry, Mining and Energy Union",Essential Media Communications
Contact Centres Australia,Hawker Britton Group
Coolomon Shire Council,John Durst Consulting
Cooperative Research Centre for Aboriginal Health,CPR Communications & Public Relations Pty Ltd
Corporate Public Affairs,NeatCorp Pty Ltd
Corrs Chambers Westgarth,Hawker Britton Group
Corrs Chambers Westgrath,Government Relations Australia Advisory Pty Ltd
Cosmetic Physicians Society of Australasia (CSPA),Res Publica Pty Ltd
Country Energy,John Connolly & Partners
Country Group,Scott & Beaumont Pty Ltd
Country Taxi Operators Association of NSW,Australian Public Affairs Ltd Partnership
County Property Group,Repute Communications & Associates Pty Ltd
Cove Sports Club,Touchpoint Australia
Covidien Pty Ltd,Australian Public Affairs Ltd Partnership
CropLife,CPR Communications & Public Relations Pty Ltd
Cross City Motorway,Kreab Gavin Anderson
Cubic Corporation,MacGregor Public Relations
Cumberland Industries (Administrator Appointed),Bluegrass Consulting
Customer Service Institute of Australia,Hawker Britton Group
DBL Property,FT Communications
DBL Property,Scott Taylor Communication
DIIRD - Victorian Government,Carney Associates
DP World,Statecraft
DP World Australia Ltd,Hawker Britton Group
DSICA,Statecraft
Daracon,Repute Communications & Associates Pty Ltd
Darley,Parker & Partners Public Affairs
David Jones Ltd,Hawker Britton Group
Day of Difference Foundation,Wilkinson Media
Deacons,Richardson Coutts Pty Ltd
Deakin Prime,Carney Associates
Deakin University,Carney Associates
Dell,Jackson Wells Pty Ltd
Delmo Albion Park,Scott Taylor Communication
Delphi,Hill & Knowlton
Diabetes Support Services Pty Ltd,AegisConsultingAustralia Pty Ltd
Diageo Australia,Hawker Britton Group
Dialog Group,Hawker Britton Group
Dimension Data,Cox Inall Communications Pty Ltd
Dimension Data,Statecraft
Dincel Construction System Pty Ltd,Enhance Corporate
Donaldson Coal,Springboard Australia Pty Ltd
Donaldson Coal Ltd,Margaret Fisher & Associates
Downer EDI Ltd,Government Relations Australia Advisory Pty Ltd
Dr David Huber,Hawker Britton Group
Dubai Holdings,Parker & Partners Public Affairs
Duncan Solutions Pty Ltd,Hawker Britton Group
Dungog Shire Council,Peterkin Consulting
Dusseldorp Skills Forum,Foresight Communications
Dymocks,Richardson Coutts Pty Ltd
EDS,Parker & Partners Public Affairs
EDS,Parker & Partners Public Affairs
ERM Power,SAS Group
ERM Power Pty Ltd,Hawker Britton Group
Eastern Nomad Buildings,Fowlstone Communications
Eastern Suburbs Memorial Park,Herbert Geer
Easy Being Green,Wilkinson Media
Ecosave,Australian Public Affairs Ltd Partnership
Education Access (Australia) Pty Ltd,Government Relations Australia Advisory Pty Ltd
Electrical and Communications Association (Qld),Sciaccas Lawyers and Consultants
Emirates Airline,Parker & Partners Public Affairs
Emirates Group,Parker & Partners Public Affairs
Emirates Hotels & Resorts,Parker & Partners Public Affairs
Energy Developments Limited,Cosway Australia
Energy Resources Australia Ltd,Endeavour Consulting Group Pty Ltd
Energy Retailers Association,Repute Communications & Associates Pty Ltd
Enhance Management Pty Ltd,Enhance Corporate
Envirogen,Kreab Gavin Anderson
Epilepsy Action Australia,Statecraft
Epuron Pty Ltd,Australian Public Affairs Ltd Partnership
Ericsson,AusAccess Pty Ltd
Ethanol Technologies Pty Ltd,The Fifth Estate
Etihad Airways,Edelman
Exodus Foundation,Hawker Britton Group
Fernhill Estate,Keating Consulting
Fitness Australia,Res Publica Pty Ltd
